## inventory-verification-sprint-20260227
?? .playwright-mcp/
?? data/
?? docs/system-audit/evidence/
?? e2e-graph-2d-label-blocks.png
?? e2e-graph-3d-airspace.png
?? e2e-graph-3d-label-blocks.png
?? e2e-graph-3d-view.png
?? e2e-graph-airspace-nodes.png
?? e2e-graph-health-tab.png
?? e2e-graph-page-loaded.png
?? e2e-graph-search-results.png
?? exam-images-test.png
?? favicon-in-tab.png
?? favicon-preview.png
?? landing-page.png
?? login-page.png
?? mockups/
?? playwright-report/
?? scripts/_reload-schema.ts
?? scripts/_reload-schema2.ts
?? scripts/extract-images/__pycache__/
?? scripts/extract-images/tests/__pycache__/
?? signup-page.png
?? test-landing-page.png
?? test-login-page.png
?? test-results/
?? test1_landing_page.png
?? test2_login_page.png
?? test3_mobile_landing.png
?? test3_practice_config.png
?? test4_commercial_tasks.png
?? test4_pricing_page.png
?? test5_404_page.png
?? test5_instrument_tasks.png
?? test6_tablet_landing.png
?? test7_commercial_session.png
?? test7_tablet_login.png
?? test8_mobile_pricing.png
?? test8_progress_page.png
?? test9_mobile_404.png
?? theme-cockpit-default.png
?? theme-glass-landing.png
?? theme-glass-test.png
?? theme-glass-verified.png
?? theme-neon-verified.png
?? theme-radar-verified.png
